02ffeecd09331f27f731b2eabc6d1e0dcd91daa4.flv,02ffeecd09331f27f731b2eabc6d1e0dcd91daa4.flv	(0, 0)(1, 1)(2, 2)(3, 3)(4, 4)(5, 5)(6, 6)(7, 7)(8, 8)(9, 9)(10, 10)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,9110765efc621b8e551b94889875201f36a48d49.flv	(4, 2)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,925548514617c04feb99967cd1d40d985c467a2f.flv	(1, 2)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,925548514617c04feb99967cd1d40d985c467a2f.flv	(4, 2)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,934c1d493bed0e2fae442e8970d787f176ac89cb.flv	(1, 0)(2, 2)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,934c1d493bed0e2fae442e8970d787f176ac89cb.flv	(4, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,ab3d22a99b1f0fee38cf842f51b1dce60bed631f.flv	(1, 0)(2, 2)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,ab3d22a99b1f0fee38cf842f51b1dce60bed631f.flv	(4, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,b3e2f9a02ee873972fcb0ce144996ad850c7b4af.flv	(1, 0)(2, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,b3e2f9a02ee873972fcb0ce144996ad850c7b4af.flv	(4, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,ce1451b329a9cd5ad178f0927644f81fad4c69c2.flv	(1, 0)(2, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,ce1451b329a9cd5ad178f0927644f81fad4c69c2.flv	(4, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,de71afa5fe2363589c28021940d2902d8701efdf.flv	(1, 0)(2, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,de71afa5fe2363589c28021940d2902d8701efdf.flv	(4, 0)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,df4001c1e9d3e8fe3c61d9b6bac46cd377e6d2be.flv	(1, 0)(2, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,df4001c1e9d3e8fe3c61d9b6bac46cd377e6d2be.flv	(4, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(1, 0)(2, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(1, 3)(2, 3)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(4, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(4, 3)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,e018528afcd7682556a4049b76d76105f60fa922.flv	(1, 0)(2, 1)
375e6b7b7b63d2a84798226ef0cef8f50135e90a.flv,e018528afcd7682556a4049b76d76105f60fa922.flv	(4, 0)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,377f81e79938ba062762e74a3b8d4136b5523fa3.flv	(0, 0)(1, 1)(2, 2)(3, 3)(4, 4)(5, 5)(6, 6)(7, 7)(8, 8)(9, 9)(10, 10)(11, 11)(12, 12)(13, 13)(14, 14)(15, 15)(16, 16)(17, 17)(18, 18)(19, 19)(20, 20)(21, 21)(22, 22)(23, 23)(24, 24)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(3, 5)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(3, 5)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(3, 6)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(3, 2)(4, 3)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(4, 5)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,5496ef100ec5a5151c058cb264d9877bf7e90960.flv	(3, 0)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv	(3, 0)(4, 1)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,5965d78e520ef5c162f22da88745f4c6dccd6fcf.flv	(3, 1)(4, 2)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(3, 0)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(3, 2)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,5f6d3fba8821f4e3358d5ff9dd6d3bc55b03b119.flv	(3, 0)(4, 1)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,6cc806641ede517d2ba98b9ffc5691c152b6c1db.flv	(3, 0)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,6f5bbd3e080c65e9a9e52404c9054b2203d3f540.flv	(3, 0)(4, 1)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,84ce12a5fff66f4cd789c90bf61156f44fe21fbc.flv	(3, 0)(4, 1)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,8d6bd2b5607cbd53fd782843392105c020b9aa7d.flv	(4, 4)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,9110765efc621b8e551b94889875201f36a48d49.flv	(3, 1)(4, 2)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,925548514617c04feb99967cd1d40d985c467a2f.flv	(3, 2)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,934c1d493bed0e2fae442e8970d787f176ac89cb.flv	(3, 0)(4, 1)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,ab3d22a99b1f0fee38cf842f51b1dce60bed631f.flv	(3, 0)(4, 1)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,b3e2f9a02ee873972fcb0ce144996ad850c7b4af.flv	(3, 0)(4, 1)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,ce1451b329a9cd5ad178f0927644f81fad4c69c2.flv	(3, 0)(4, 1)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,de71afa5fe2363589c28021940d2902d8701efdf.flv	(3, 0)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,df4001c1e9d3e8fe3c61d9b6bac46cd377e6d2be.flv	(3, 0)(4, 1)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(3, 0)(4, 1)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(4, 3)
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,e018528afcd7682556a4049b76d76105f60fa922.flv	(3, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv	(0, 0)(1, 1)(2, 2)(3, 3)(4, 4)(5, 5)(6, 6)(7, 7)(8, 8)(9, 9)(10, 10)(11, 11)(12, 12)(13, 13)(14, 14)(15, 15)(16, 16)(17, 17)(18, 18)(19, 19)(20, 20)(21, 21)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(5, 2)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(5, 5)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(5, 2)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(5, 5)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(6, 5)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5496ef100ec5a5151c058cb264d9877bf7e90960.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5496ef100ec5a5151c058cb264d9877bf7e90960.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5496ef100ec5a5151c058cb264d9877bf7e90960.flv	(6, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv	
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5965d78e520ef5c162f22da88745f4c6dccd6fcf.flv	(5, 1)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5965d78e520ef5c162f22da88745f4c6dccd6fcf.flv	(5, 1)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5965d78e520ef5c162f22da88745f4c6dccd6fcf.flv	
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(5, 2)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(5, 2)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(6, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(6, 2)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5f6d3fba8821f4e3358d5ff9dd6d3bc55b03b119.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5f6d3fba8821f4e3358d5ff9dd6d3bc55b03b119.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,5f6d3fba8821f4e3358d5ff9dd6d3bc55b03b119.flv	(6, 1)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,6cc806641ede517d2ba98b9ffc5691c152b6c1db.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,6cc806641ede517d2ba98b9ffc5691c152b6c1db.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,6cc806641ede517d2ba98b9ffc5691c152b6c1db.flv	(6, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,6f5bbd3e080c65e9a9e52404c9054b2203d3f540.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,6f5bbd3e080c65e9a9e52404c9054b2203d3f540.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,6f5bbd3e080c65e9a9e52404c9054b2203d3f540.flv	
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,811a34d320785afe0f50b9ff7a67a8b7c22e9891.flv	(15, 2)(16, 4)(17, 6)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,84ce12a5fff66f4cd789c90bf61156f44fe21fbc.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,84ce12a5fff66f4cd789c90bf61156f44fe21fbc.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,84ce12a5fff66f4cd789c90bf61156f44fe21fbc.flv	
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,8d6bd2b5607cbd53fd782843392105c020b9aa7d.flv	
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,8d6bd2b5607cbd53fd782843392105c020b9aa7d.flv	(5, 4)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,8d6bd2b5607cbd53fd782843392105c020b9aa7d.flv	(6, 4)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,9110765efc621b8e551b94889875201f36a48d49.flv	(5, 1)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,9110765efc621b8e551b94889875201f36a48d49.flv	(5, 1)(5, 2)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,9110765efc621b8e551b94889875201f36a48d49.flv	(6, 2)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,925548514617c04feb99967cd1d40d985c467a2f.flv	(5, 2)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,925548514617c04feb99967cd1d40d985c467a2f.flv	(5, 2)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,925548514617c04feb99967cd1d40d985c467a2f.flv	(6, 2)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,934c1d493bed0e2fae442e8970d787f176ac89cb.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,934c1d493bed0e2fae442e8970d787f176ac89cb.flv	(5, 0)(5, 1)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,934c1d493bed0e2fae442e8970d787f176ac89cb.flv	(6, 1)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,ab3d22a99b1f0fee38cf842f51b1dce60bed631f.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,ab3d22a99b1f0fee38cf842f51b1dce60bed631f.flv	(5, 0)(5, 1)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,ab3d22a99b1f0fee38cf842f51b1dce60bed631f.flv	(6, 1)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,b3e2f9a02ee873972fcb0ce144996ad850c7b4af.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,b3e2f9a02ee873972fcb0ce144996ad850c7b4af.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,b3e2f9a02ee873972fcb0ce144996ad850c7b4af.flv	
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,ce1451b329a9cd5ad178f0927644f81fad4c69c2.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,ce1451b329a9cd5ad178f0927644f81fad4c69c2.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,ce1451b329a9cd5ad178f0927644f81fad4c69c2.flv	
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,d31adc1a71b72bb36f32b67cb6d52d4840a322c5.flv	(1, 1)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,d31adc1a71b72bb36f32b67cb6d52d4840a322c5.flv	(15, 8)(16, 10)(17, 13)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,de71afa5fe2363589c28021940d2902d8701efdf.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,de71afa5fe2363589c28021940d2902d8701efdf.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,de71afa5fe2363589c28021940d2902d8701efdf.flv	(6, 0)(6, 1)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,df4001c1e9d3e8fe3c61d9b6bac46cd377e6d2be.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,df4001c1e9d3e8fe3c61d9b6bac46cd377e6d2be.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,df4001c1e9d3e8fe3c61d9b6bac46cd377e6d2be.flv	
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(7, 5)(8, 7)(9, 8)(15, 10)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,e018528afcd7682556a4049b76d76105f60fa922.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,e018528afcd7682556a4049b76d76105f60fa922.flv	(5, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,e018528afcd7682556a4049b76d76105f60fa922.flv	(6, 0)
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,f5d187eb9c7e5cfc6eaa206f479ede5c10603c68.flv	(7, 0)(9, 2)(10, 4)(11, 5)(12, 6)(14, 7)(15, 8)(16, 9)(17, 10)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv	(0, 0)(1, 1)(2, 2)(3, 3)(4, 4)(5, 5)(6, 6)(7, 7)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,5496ef100ec5a5151c058cb264d9877bf7e90960.flv	(2, 0)(4, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,5496ef100ec5a5151c058cb264d9877bf7e90960.flv	(5, 0)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv	(2, 0)(3, 1)(4, 2)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv	(5, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,5965d78e520ef5c162f22da88745f4c6dccd6fcf.flv	(1, 0)(2, 1)(3, 2)(4, 3)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,5965d78e520ef5c162f22da88745f4c6dccd6fcf.flv	(5, 2)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(2, 0)(4, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(2, 2)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(3, 0)(4, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(4, 2)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,5f6d3fba8821f4e3358d5ff9dd6d3bc55b03b119.flv	(2, 0)(4, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,5f6d3fba8821f4e3358d5ff9dd6d3bc55b03b119.flv	(5, 0)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,6cc806641ede517d2ba98b9ffc5691c152b6c1db.flv	(2, 0)(4, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,6cc806641ede517d2ba98b9ffc5691c152b6c1db.flv	(5, 0)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,6f5bbd3e080c65e9a9e52404c9054b2203d3f540.flv	(2, 0)(3, 1)(4, 2)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,6f5bbd3e080c65e9a9e52404c9054b2203d3f540.flv	(5, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,84ce12a5fff66f4cd789c90bf61156f44fe21fbc.flv	(2, 0)(3, 1)(4, 2)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,84ce12a5fff66f4cd789c90bf61156f44fe21fbc.flv	(5, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,8d6bd2b5607cbd53fd782843392105c020b9aa7d.flv	(1, 0)(3, 4)(4, 5)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,8d6bd2b5607cbd53fd782843392105c020b9aa7d.flv	(5, 4)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,9110765efc621b8e551b94889875201f36a48d49.flv	(2, 1)(4, 2)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,9110765efc621b8e551b94889875201f36a48d49.flv	(5, 2)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,925548514617c04feb99967cd1d40d985c467a2f.flv	(2, 2)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,925548514617c04feb99967cd1d40d985c467a2f.flv	(5, 2)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,934c1d493bed0e2fae442e8970d787f176ac89cb.flv	(2, 0)(3, 1)(4, 2)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,934c1d493bed0e2fae442e8970d787f176ac89cb.flv	(5, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,ab3d22a99b1f0fee38cf842f51b1dce60bed631f.flv	(2, 0)(3, 1)(4, 2)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,ab3d22a99b1f0fee38cf842f51b1dce60bed631f.flv	(5, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,b3e2f9a02ee873972fcb0ce144996ad850c7b4af.flv	(2, 0)(3, 1)(4, 2)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,b3e2f9a02ee873972fcb0ce144996ad850c7b4af.flv	(5, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,ce1451b329a9cd5ad178f0927644f81fad4c69c2.flv	(2, 0)(3, 1)(4, 2)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,ce1451b329a9cd5ad178f0927644f81fad4c69c2.flv	(5, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,de71afa5fe2363589c28021940d2902d8701efdf.flv	(2, 0)(4, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,de71afa5fe2363589c28021940d2902d8701efdf.flv	(5, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,df4001c1e9d3e8fe3c61d9b6bac46cd377e6d2be.flv	(2, 0)(4, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,df4001c1e9d3e8fe3c61d9b6bac46cd377e6d2be.flv	(5, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(2, 0)(4, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(4, 3)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(5, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(5, 3)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,e018528afcd7682556a4049b76d76105f60fa922.flv	(2, 0)(4, 1)
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,e018528afcd7682556a4049b76d76105f60fa922.flv	(5, 0)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,5496ef100ec5a5151c058cb264d9877bf7e90960.flv	(0, 0)(1, 1)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv	(0, 0)(1, 2)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,5965d78e520ef5c162f22da88745f4c6dccd6fcf.flv	(0, 1)(1, 3)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(0, 0)(1, 1)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(0, 2)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,5f6d3fba8821f4e3358d5ff9dd6d3bc55b03b119.flv	(0, 0)(1, 1)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,6cc806641ede517d2ba98b9ffc5691c152b6c1db.flv	(0, 0)(1, 1)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,6f5bbd3e080c65e9a9e52404c9054b2203d3f540.flv	(0, 0)(1, 2)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,84ce12a5fff66f4cd789c90bf61156f44fe21fbc.flv	(0, 0)(1, 2)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,8d6bd2b5607cbd53fd782843392105c020b9aa7d.flv	(1, 5)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,9110765efc621b8e551b94889875201f36a48d49.flv	(0, 1)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,925548514617c04feb99967cd1d40d985c467a2f.flv	(0, 2)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,934c1d493bed0e2fae442e8970d787f176ac89cb.flv	(0, 0)(1, 2)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,ab3d22a99b1f0fee38cf842f51b1dce60bed631f.flv	(0, 0)(1, 2)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,b3e2f9a02ee873972fcb0ce144996ad850c7b4af.flv	(0, 0)(1, 2)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,ce1451b329a9cd5ad178f0927644f81fad4c69c2.flv	(0, 0)(1, 2)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,de71afa5fe2363589c28021940d2902d8701efdf.flv	(0, 0)(1, 1)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,df4001c1e9d3e8fe3c61d9b6bac46cd377e6d2be.flv	(0, 0)(1, 2)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(0, 0)(1, 2)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv	(0, 3)
5496ef100ec5a5151c058cb264d9877bf7e90960.flv,e018528afcd7682556a4049b76d76105f60fa922.flv	(0, 0)(1, 1)
55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv,55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv	(0, 0)(1, 1)(2, 2)
55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv,5965d78e520ef5c162f22da88745f4c6dccd6fcf.flv	(0, 1)(1, 2)(2, 3)
55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(0, 0)(2, 1)
55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv,5c4792c066b3e445d46c603878b1be0a33808111.flv	(0, 2)
55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv,5f6d3fba8821f4e3358d5ff9dd6d3bc55b03b119.flv	(0, 0)(1, 1)
55b5cf91ebbb1f98879f64e74b8155fe98cad23a.flv,6cc806641ede517d2ba98b9ffc5691c152b6c1db.flv	(0, 0)(2, 1)
